상병코드,상병명
H22*  ,달리 분류된 질환에서의 홍채 및 섬모체 장애(Disorders of iris and ciliary body in diseases classified elsewhere)
H25,노년 백내장(Senile cataract)
H26,기타 백내장(Other cataract)
H27,수정체의 기타 장애(Other disorders of lens)
H28*  ,달리 분류된 질환에서의 백내장 및 수정체의 기타 장애(Cataract and other disorders of lens in diseases classified elsewhere)
H30,맥락망막의 염증(Chorioretinal inflammation)
H31,맥락막의 기타 장애(Other disorders of choroid)
H32*  ,달리 분류된 질환에서의 맥락망막 장애(Chorioretinal disorders in diseases classified elsewhere)
H33,망막박리 및 망막의 열공(Retinal detachments and breaks)
H34,망막 혈관 폐쇄(Retinal vascular occlusions)
H35,기타 망막 장애(Other retinal disorders)
H36*  ,달리 분류된 질환에서의 망막 장애(Retinal disorders in diseases classified elsewhere)
H40,녹내장(Glaucoma)
H42*  ,달리 분류된 질환에서의 녹내장(Glaucoma in diseases classified elsewhere)
H43,유리체의 장애(Disorders of vitreous body)
H44,안구의 장애(Disorders of globe)
H45*  ,달리 분류된 질환에서의 유리체 및 안구의 장애(Disorders of vitreous body and globe in diseases classified elsewhere)
H46,시신경염(Optic neuritis)
H47,시[제2] 신경 및 시각경로의 기타 장애(Other disorders of optic[2nd] nerve and visual pathways)
H48*  ,달리 분류된 질환에서의 시[제2] 신경 및 시각경로의 장애(Disorders of optic[2nd] nerve and visual pathways in diseases classified elsewhere)
H49,마비성 사시(Paralytic strabismus)
H50,기타 사시(Other strabismus)
H51,양안운동의 기타 장애(Other disorders of binocular movement)
H52,굴절 및 조절의 장애(Disorders of refraction and accommodation)
H53,시각 장애(Visual disturbances)
H54,실명 및 저시력(Blindness and low vision)
H55,안진 및 기타 불규칙적 눈 운동(Nystagmus and other irregular eye movements)
H57,눈 및 눈부속기의 기타 장애(Other disorders of eye and adnexa)
H58*  ,달리 분류된 질환에서의 눈 및 눈부속기의 기타 장애(Other disorders of eye and adnexa in diseases classified elsewhere)
H59,"달리 분류되지 않은 눈 및 눈부속기의 처치후 장애(Postprocedural disorders of eye and adnexa, NEC)"
H60,바깥귀길염(Otitis externa)
H61,바깥귀의 기타장애(Other disorders of external ear)
H62*  ,달리 분류된 질환에서의 바깥귀의 장애(Disorders of external ear in diseases classified elsewhere)
H65,비화농성 중이염(Nonsuppurative otitis media)
H66,화농성 및 상세불명의 중이염(Suppurative and unspecified otitis media)
H67*  ,달리 분류된 질환에서의 중이염(Otitis media in diseases classified elsewhere)
H68,귀인두관염 및 귀인두관 폐색(Eustachian salpingitis and obstruction)
H69,귀인두관의 기타 장애(Other disorders of Eustachian tube)
H70,꼭지염 및 관련 병태(Mastoiditis and related conditions)
H71,가운데귀의 진주종(Cholesteatoma of middle ear)
H72,고막의 천공(Perforation of tympanic membrane)
H73,고막의 기타 장애(Other disorders of tympanic membrane)
H74,가운데귀 및 꼭지돌기의 기타 장애(Other disorders of middle ear and mastoid)
H75*  ,달리 분류된 질환에서의 가운데귀 및 꼭지돌기의 기타 장애(Other disorders of middle ear and mastoid in diseases classified elsewhere)
H80,귀경화증(Otosclerosis)
H81,전정기능의 장애(Disorders of vestibular function)
H82*  ,달리 분류된 질환에서의 현기증성 증후군(Vertiginous syndromes in diseases classified elsewhere)
H83,속귀의 기타 질환(Other diseases of inner ear)
H90,전음성 및 감각신경성 난청(Conductive and sensorineural hearing loss)
H91,기타 난청(Other hearing loss)
H92,귀통증 및 귀의 삼출액(Otalgia and effusion of ear)
H93,"달리 분류되지 않은 귀의 기타 장애(Other disorders of ear, NEC)"
H94*  ,달리 분류된 질환에서의 귀의 기타 장애(Other disorders of ear in diseases classified elsewhere)
H95,"달리 분류되지 않은 귀 및 꼭지돌기의 처치후 장애(Postprocedural disorders of ear and mastoid process, NEC)"
I00,심장 침습이 없는 류마티스열(Rheumatic fever without mention of heart involvement)
I01,심장 침습이 있는 류마티스 열(Rheumatic fever with heart involvement)
I02,류마티스 무도병(Rheumatic chorea)
I05,류마티스 승모판 질환(Rheumatic mitral valve diseases)
I06,류마티스 대동맥판 질환(Rheumatic aortic valve diseases)
I07,류마티스 삼첨판 질환(Rheumatic tricuspid valve diseases)
I08,다발성 판막 질환(Multiple valve diseases)
I09,기타 류마티스 심장 질환(Other rheumatic heart diseases)
I10,본태성(원발성) 고혈압(Essential(primary) hypertension)
I11,고혈압성 심장병(Hypertensive heart disease)
I12,고혈압성 콩팥(신장)병(Hypertensive renal disease)
I13,고혈압성 심장 및 콩팥(신장)병(Hypertensive heart and renal disease)
I15,이차 고혈압(Secondary hypertension)
I20,협심증(Angina pectoris)
I21,급성 심근경색증(Acute myocardial infarction)
I22,속발성 심근경색증(Subsequent myocardial infarction)
I23,급성 심근경색증에 의한 특정 현재 합병증(Certain current complications   following acute myocardial infarction)
I24,기타 급성 허혈성 심장 질환(Other acute ischaemic heart diseases)
I25,만성 허혈성 심장병(Chronic ischaemic heart disease)
I26,폐 색전증(Pulmonary embolism)
I27,기타 폐성 심장 질환(Other pulmonary heart diseases)
I28,기타 폐혈관의 질환(Other diseases of pulmonary vessels)
I30,급성 심장막염(Acute pericarditis)
I31,기타 심장막의 질환(Other diseases of pericardium)
I32*  ,달리 분류된 질환에서의 심장막염(Pericarditis in diseases classified elsewhere)
I33,급성 및 아급성 심내막염(Acute and subacute endocarditis)
I34,비류마티스 승모판 장애(Nonrheumatic mitral valve disorders)
I35,비류마티스 대동맥판 장애(Nonrheumatic aortic valve disorders)
I36,비류마티스 삼첨판 장애(Nonrheumatic tricuspid valve disorders)
I37,폐동맥판 장애(Pulmonary valve disorders)
I38,"상세불명 판막의 심내막염(Endocarditis, valve unspecified)"
I39*  ,달리 분류된 질환에서의 심내막염 및 심장 판막 장애(Endocarditis and heart valve disorders in diseases classified elsewhere)
I40,급성 심근염(Acute myocarditis)
I41*  ,달리 분류된 질환에서의 심근염(Myocarditis in diseases classified elsewhere)
I42,심장근육병증(Cardiomyopathy)
I43*  ,달리 분류된 질환에서의 심장근육병증(Cardiomyopathy in diseases classified elsewhere)
I44,심방실 차단 및 좌각 차단(Atrioventricular and left bundle-branch block)
I45,기타 전도 장애(Other conduction disorders)
I46,심장정지(Cardiac arrest)
I47,발작성 빠른맥(Paroxysmal tachycardia)
I48,심방 잔떨림 및 된떨림(Atrial fibrillation and flutter)
I49,기타 심장성 부정맥(Other cardiac arrhythmias)
I50,심장기능상실(심부전)(Heart failure)
I51,심장병의 불명확한 기록 및 합병증(Complications and ill-defined descriptions of heart disease)
I52*  ,달리 분류된 질환에서의 기타 심장 장애(Other heart disorders in diseases classified elsewhere)
I60,거미막밑 출혈(Subarachnoid haemorrhage)
I61,뇌내출혈(Intracerebral haemorrhage)
I62,기타 비외상성 머리내 출혈(Other nontraumatic intracranial haemorrhage)
I63,뇌경색증(Cerebral infarction)
I64,"출혈 또는 경색증으로 명시되지 않은 뇌중풍(Stroke, not specified as haemorrhage or infarction)"
I65,"대뇌경색증을 유발하지 않은 뇌전동맥의 폐색 및 협착(Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction)"
I66,"대뇌경색증을 유발하지 않은 대뇌동맥의 폐색 및 협착(Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction)"
I67,기타 뇌혈관 질환(Other cerebrovascular diseases)
I68*  ,달리 분류된 질환에서의 뇌혈관 장애(Cerebrovascular disorders in diseases classified elsewhere)
I69,뇌혈관 질환의 후유증(Sequelae of cerebrovascular disease)
I70,죽상경화증(Atherosclerosis)
I71,대동맥류 및 박리(Aortic aneurysm and dissection)
I72,기타 동맥류(Other aneurysm)
I73,기타 말초혈관 질환(Other peripheral vascular diseases)
I74,동맥색전증 및 혈전증(Arterial embolism and thrombosis)
I77,동맥 및 소동맥의 기타 장애(Other disorders of arteries and arterioles)
I78,모세혈관의 질환(Diseases of capillaries)
I79*  ,"달리 분류된 질환에서의 동맥, 소동맥 및 모세혈관의 장애(Disorders of arteries, arterioles and capillaries in diseases classified elsewhere)"
I80,정맥염 및 혈전정맥염(Phlebitis and thrombophlebitis)
I81,문맥혈전증(Portal vein thrombosis)
I82,기타 정맥 색전증 및 혈전증(Other venous embolism and thrombosis)
I83,다리의 정맥류(Varicose veins of lower extremities)
I84,치질(Haemorrhoids)
I85,식도정맥류(Oesophageal varices)
I86,기타 부위의 정맥류(Varicose veins of other sites)
I87,정맥의 기타 장애(Other disorders of veins)
I88,비특정 림프절염(Nonspecific lymphadenitis)
I89,림프관 및 림프절의 기타 비감염성 장애(Other noninfective disorders of lymphatic vessels and lymph nodes)
I95,저혈압(Hypotension)
I97,"달리 분류되지 않은 순환기계통의 처치후 장애(Postprocedural disorders of circulatory system, NEC)"
I98*  ,달리 분류된 질환에서의 순환기계통의 기타 장애(Other disorders of circulatory system in diseases classified elsewhere)
I99,순환기계통의 기타 및 상세불명의 장애(Other and unspecified disorders of circulatory system)
J00,급성 코인두염[감기](Acute nasopharyngitis[common cold])
J01,급성 굴염(Acute sinusitis)
J02,급성 인두염(Acute pharyngitis)
J03,급성 편도염(Acute tonsillitis)
J04,급성 후두염 및 기관염(Acute laryngitis and tracheitis)
J05,급성 폐쇄성 후두염[크루프] 및 후두개염(Acute obstructive laryngitis[croup] and epiglottitis)
J06,다발성 및 상세불명 부위의 급성 상기도 감염(Acute upper respiratory infections of multiple and unspecified sites)
J10,확인된 인플루엔자 바이러스에 의한 인플루엔자(Influenza due to identified influenza virus)
J11,"바이러스가 확인되지 않은 인플루엔자(Influenza, virus not identified)"
J12,"달리 분류되지 않은 바이러스성 폐렴(Viral pneumonia, NEC)"
J13,폐렴사슬알균에 의한 폐렴(Pneumonia due to Streptococcus pneumoniae)
J14,헤모필루스 인플루엔자에 의한 폐렴(Pneumonia due to Haemophilus influenzae)
J15,"달리 분류되지 않은 세균성 폐렴(Bacterial pneumonia, NEC)"
J16,"달리 분류되지 않은 기타 감염성 병원체에 의한 폐렴(Pneumonia due to other infectious organisms, NEC)"
J17*  ,달리 분류된 질환에서의 폐렴(Pneumonia in diseases classified elsewhere)
J18,"상세불명 병원체의 폐렴(Pneumonia, organism unspecified)"
J20,급성 기관지염(Acute bronchitis)
J21,급성 세기관지염(Acute bronchiolitis)
J22,상세불명의 급성 하기도 감염(Unspecified acute lower respiratory infection)
J30,혈관운동성 및 알레르기성 비염(Vasomotor and allergic rhinitis)
J31,"만성 비염, 코인두염 및 인두염(Chronic rhinitis, nasopharyngitis and pharyngitis)"
J32,만성 굴염(Chronic sinusitis)
J33,코의 폴립(Nasal polyp)
J34,코 및 코옆굴의 기타 장애(Other disorders of nose and nasal sinuses) 
J35,편도 및 아데노이드의 만성 질환(Chronic diseases of tonsils and adenoids) 
J36,편도주위 고름집(농양)(Peritonsillar abscess)
J37,만성 후두염 및 후두기관염(Chronic laryngitis and laryngotracheitis)
J38,"달리 분류되지 않은 성대 및 후두의 질환(Diseases of vocal cords and larynx, NEC)"
J39,상기도의 기타 질환(Other diseases of upper respiratory tract)
J40,"급성인지 만성인지 명시되지 않은 기관지염(Bronchitis, not specified as acute or chronic)"
J41,단순성 및 점액농성 만성 기관지염(Simple and mucopurulent chronic bronchitis)
J42,상세불명의 만성 기관지염(Unspecified chronic bronchitis)
J43,폐기종(Emphysema)
J44,기타 만성 폐쇄성 폐질환(Other chronic obstructive pulmonary disease)
J45,천식(Asthma)
J46,천식지속 상태(Status asthmaticus)
J47,기관지확장증(Bronchiectasis)
J60,탄광부 진폐증(Coalworker's pneumoconiosis)
J61,석면 및 기타 광섬유에 의한 진폐증(Pneumoconiosis due to asbestos and other mineral fibres)
J62,규소를 함유한 먼지에 의한 진폐증(Pneumoconiosis due to dust containing silica)
J63,기타 무기물먼지에 의한 진폐증(Pneumoconiosis due to other inorganic dusts)
J64,상세불명의 진폐증(Unspecified pneumoconiosis)
J65,결핵과 연관된 진폐증(Pneumoconiosis associated with tuberculosis)
J66,특수 유기물먼지에 의한 기도질환(Airway disease due to specific organic dust)
J67,유기물먼지에 의한 과민성 폐렴(Hypersensitivity pneumonitis due to organic dust)
J68,"화학물질, 기체, 훈증기 및 물김의 흡입에 의한 호흡기 병태(Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours)"
J69,고체 및 액체에 의한 폐렴(Pneumonitis due to solids and liquids)
J70,기타 외부요인에 의한 호흡기 병태(Respiratory conditions due to other external agents)
J80,성인성 호흡곤란 증후군(Adult respiratory distress syndrome)
J81,폐부종(Pulmonary oedema)
J82,"달리 분류되지 않은 폐 호산구 증가증(Pulmonary eosinophilia, NEC)"
J84,기타 사이질성 폐질환(Other interstitial pulmonary diseases)
J85,폐 및 종격동의 고름집(농양)(Abscess of lung and mediastinum)
J86,고름가슴(Pyothorax)
J90,"달리 분류되지 않은 가슴막삼출액(Pleural effusion, NEC)"
J91*  ,달리 분류된 병태에서의 가슴막삼출액(Pleural effusion in conditions classified elsewhere)
J92,가슴막판(Pleural plaque)
J93,공기가슴증(Pneumothorax)
J94,기타 가슴막의 병태(Other pleural conditions)
J95,"달리 분류되지 않은 처치후 호흡기 장애(Postprocedural respiratory disorders, NEC)"
J96,"달리 분류되지 않은 호흡기능상실(Respiratory failure, NEC)"
J98,기타 호흡기 장애(Other respiratory disorders)
J99*  ,달리 분류된 질환에서의 호흡기 장애(Respiratory disorders in diseases classified elsewhere)
K00,치아의 발육 및 맹출(이돋이) 장애(Disorders of tooth development and eruption)
K01,매몰치 및 매복치(Embedded and impacted teeth)
K02,치아우식증(Dental caries)
K03,치아경조직의 기타 질환(Other diseases of hard tissues of teeth)
K04,치수 및 치근단주위 조직의 질환(Diseases of pulp and periapical tissues)
K05,치은염(잇몸염) 및 치주 질환(Gingivitis and periodontal diseases)
K06,치은(잇몸) 및 무치성 치조융선(이틀융기)의 기타 장애(Other disorders of gingiva and edentulous alveolar ridge)
K07,치아안면이상[부정교합을 포함](Dentofacial anomalies [including malocclusion])
K08,치아 및 지지구조의 기타 장애(Other disorders of teeth and supporting  structures)
K09,"달리 분류되지 않은 구강영역의 낭(Cysts of oral region, NEC)"
K10,턱의 기타 질환(Other diseases of jaws)
K11,침샘의 질환(Diseases of salivary glands)
K12,입안염 및 관련 병터(Stomatitis and related lesions)
K13,입술 및 구강점막의 기타 질환(Other diseases of lip and oral mucosa)
K14,혀의 질환(Diseases of tongue)
K20,식도염(Oesophagitis)
K21,위-식도 역류질환(Gastro-oesophageal reflux disease)
K22,식도의 기타 질환(Other diseases of oesophagus)
K23*  ,달리 분류된 질환에서의 식도의 장애(Disorders of oesophagus in diseases classified elsewhere)
K25,위궤양(Gastric ulcer)
K26,십이지장궤양(Duodenal ulcer)
K27,"상세불명 부위의 소화성 궤양(Peptic ulcer, site unspecified)"
K28,위공장궤양(Gastrojejunal ulcer)
K29,위염 및 십이지장염(Gastritis and duodenitis)
K30,소화불량(Dyspepsia)
K31,위 및 십이지장의 기타 질환(Other diseases of stomach and duodenum)
K35,급성 충수염(Acute appendicitis)
K36,기타 충수염(Other appendicitis)
K37,상세불명의 충수염(Unspecified appendicitis)
K38,충수의 기타 질환(Other diseases of appendix)
K40,샅(서혜)헤르니아(Inguinal hernia)
K41,넙다리헤르니아(Femoral hernia)
K42,배꼽헤르니아(Umbilical hernia)
K43,복벽헤르니아(Ventral hernia)
K44,가로막헤르니아(Diaphragmatic hernia)
K45,기타 복부헤르니아(Other abdominal hernia)
K46,상세불명의 복부헤르니아(Unspecified abdominal hernia)
K50,크론 병[국한성 창자염](Crohn's disease[regional enteritis])
K51,궤양성 대장염(큰창자염)(Ulcerative colitis)
K52,기타 비감염성 위장염 및 대장염(큰창자염)(Other noninfective gastroenteritis and colitis)
K55,창자의 혈관성 장애(Vascular disorders of intestine)
K56,헤르니아가 없는 마비성 장폐색증 및 창자폐쇄(Paralytic ileus and intestinal obstruction without hernia)
K57,창자의 곁주머니(게실)병(Diverticular disease of intestine)
K58,자극성 장증후군(Irritable bowel syndrome)
K59,기타 기능적 창자 장애(Other functional intestinal disorders)
K60,항문 및 직장부의 열구 및 샛길(누공)(Fissure and fistula of anal and rectal regions)
K61,항문 및 직장부의 고름집(농양)(Abscess of anal and rectal regions)
K62,항문 및 직장의 기타 질환(Other diseases of anus and rectum)
K63,창자의 기타 질환(Other diseases of intestine)
K65,복막염(Peritonitis)
K66,복막의 기타 장애(Other disorders of peritoneum)
K67*  ,달리 분류된 감염성 질환에서의 복막의 장애(Disorders of peritoneum in infectious diseases classified elsewhere)
K70,알코올성 간질환(Alcoholic liver disease)
K71,독성 간질환(Toxic liver disease)
K72,"달리 분류되지 않은 간기능상실(Hepatic failure, NEC)"
K73,"달리 분류되지 않은 만성 간염(Chronic hepatitis, NEC)"
K74,간의 섬유증 및 경화(Fibrosis and cirrhosis of liver)
K75,기타 염증성 간질환(Other inflammatory liver diseases)
K76,간의 기타 질환(Other diseases of liver)
K77*  ,달리 분류된 질환에서의 간 장애(Liver disorders in disease classified elsewhere)
K80,담석증(Cholelithiasis)
K81,담낭염(Cholecystitis)
K82,쓸개(담낭)의 기타 질환(Other diseases of gallbladder)
K83,담도의 기타 질환(Other diseases of biliary tract)
K85,급성 췌장염(이자염)(Acute pancreatitis)
K86,췌장(이자)의 기타 질환(Other diseases of pancreas)
K87*  ,"달리 분류된 질환에서의 쓸개(담낭), 담도 및 췌장(이자)의 장애(Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere)"
K90,창자 흡수장애(Intestinal malabsorption)
K91,"달리 분류되지 않은 소화기계통의 처치후 장애(Postprocedural disorders of digestive system, NEC)"
K92,소화기계통의 기타 질환(Other diseases of digestive system)
K93*  ,달리 분류된 질환에서의 기타 소화기관 장애(Disorders of other digestive organs in diseases classified elsewhere)
L00,포도알균 화상피부 증후군(Staphylococcal scalded skin syndrome)
L01,농가진(Impetigo)
L02,"피부성 고름집(농양), 종기 및 큰 종기(Cutaneous abscess, furuncle and carbuncle)"
L03,연조직염(Cellulitis)
L04,급성 림프절염(Acute lymphadenitis)
L05,모소낭(Pilonidal cyst)
L08,피부 및 피부밑조직의 기타 국소 감염(Other local infections of skin and sub- cutaneous tissue)
L10,천포창(Pemphigus)
L11,기타 극세포해리성 장애(Other acantholytic disorders)
L12,유사천포창(Pemphigoid)
L13,기타 수포성 장애(Other bullous disorders)
L14*  ,달리 분류된 질환에서의 수포성 장애(Bullous disorders in diseases classified elsewhere)
L20,아토피 피부염(Atopic dermatitis)
L21,지루 피부염(Seborrhoeic dermatitis)
L22,기저귀 [냅킨] 피부염(Diaper [napkin] dermatitis)
L23,알레르기성 접촉피부염(Allergic contact dermatitis)
L24,자극성 접촉피부염(Irritant contact dermatitis)
L25,상세불명의 접촉피부염(Unspecified contact dermatitis)
L26,탈락피부염(Exfoliative dermatitis)
L27,내부로 섭취된 물질에 의한 피부염(Dermatitis due to substances taken internally)
L28,만성 단순태선 및 가려움발진(Lichen simplex chronicus and prurigo)
L29,가려움(Pruritus)
L30,기타 피부염(Other dermatitis)
L40,건선(Psoriasis)
L41,유사건선(Parapsoriasis)
L42,장미색 잔비늘증(비강진)(Pityriasis rosea)
L43,편평태선(Lichen planus)
L44,기타 구진비늘 장애(Other papulosquamous disorders)
L45*  ,달리 분류된 질환에서의 구진비늘 장애(Papulosquamous disorders in diseases classified elsewhere)
L50,두드러기(Urticaria)
L51,다형홍반(Erythema multiforme)
L52,결절홍반(Erythema nodosum)
L53,기타 홍반성 병태(Other erythematous conditions)
L54*  ,달리 분류된 질환에서의 홍반(Erythema in diseases classified elsewhere)
L55,일광화상(Sunburn)
L56,자외선에 의한 기타 급성 피부 변화(Other acute skin changes due to ultraviolet radiation)
L57,비전리성 방사선에 만성 노출에 의한 피부 변화(Skin changes due to chronic exposure to nonionizing radiation)
L58,방사선피부염(Radiodermatitis)
L59,방사선과 관련된 피부 및 피부밑조직의 기타 장애(Other disorders of skin and subcutaneous tissue related to radiation)
L60,손[발]톱 장애(Nail disorders)
L62*  ,달리 분류된 질환에서의 손(발)톱 장애(Nail disorders in diseases classified elsewhere)
L63,원형 탈모증(Alopecia areata)
L64,안드로젠성 탈모증(Androgenic alopecia)
L65,기타 비흉터성 모발 손실(Other nonscarring hair loss)
L66,흉터성 탈모증[흉터성 모발 손실](Cicatricial alopecia[scarring hair loss])
L67,모발색조 및 털줄기 이상(Hair colour and hair shaft abnormalities)
L68,털과다증(Hypertrichosis)
L70,여드름(Acne)
L71,로사세아(Rosacea)
L72,피부 및 피부밑조직의 모낭성 낭(Follicular cysts of skin and subcutaneous tissue)
L73,기타 모낭 장애(Other follicular disorders)
L74,에크린 땀샘 장애(Eccrine sweat disorders)
L75,아포크린 땀샘 장애(Apocrine sweat disorders)
L80,백반증(Vitiligo)
L81,색소침착의 기타 장애(Other disorders of pigmentation)
L82,지루 각화증(Seborrhoeic keratosis)
L83,흑색 가시세포증(극세포증)(Acanthosis nigricans)
L84,티눈 및 굳은 살(Corns and callosities)
L85,기타 표피의 두꺼워짐(Other epidermal thickening)
L86*  ,달리 분류된 질환에서의 각피증(Keratoderma in diseases classified elsewhere)
L87,경표피 배출성 장애(Transepidermal elimination disorders)
L88,괴저성 농피증(Pyoderma gangrenosum)
L89,욕창성 궤양(Decubitus ulcer)
L90,피부의 위축성 장애(Atrophic disorders of skin)
L91,피부의 비대성 장애(Hypertrophic disorders of skin)
L92,피부 및 피부밑조직의 육아종성 장애(Granulomatous disorders of skin and subcutaneous tissue)
L93,홍반성 루푸스(Lupus erythematosus)
L94,기타 국한성 결합조직 장애(Other localized connective tissue disorders)
L95,"달리 분류되지 않은 피부 제한성 혈관염(Vasculitis limited to skin, NEC)"
L97,"달리 분류되지 않은 다리의 궤양(Ulcer of lower limb, NEC)"
L98,"달리 분류되지 않은 피부 및 피부밑조직의 기타 장애(Other disorders of skin and subcutaneous tissue, NEC)"
L99*  ,달리 분류된 질환에서의 피부 및 피부밑조직의 기타 장애(Other disorders of skin and subcutaneous tissue in diseases classified elsewhere)
M00,화농성 관절염(Pyogenic arthritis)(540∼541쪽의 부위별 분류번호참조)
M01*  ,달리 분류된 감염성 및 기생충성 질환에서의 관절의 직접 감염(Direct infections of joint in infectious and parasitic diseases classified elsewhere)(540∼541쪽의 부위별 분류번호 참조)
M02,반응성 관절병증(Reactive arthropathies)(540∼541쪽의 부위별 분류번호 참조)
M03*  ,달리 분류된 질환에서의 감염후 및 반응성 관절병증(Postinfective and reactive arthropathies in diseases classified elsewhere)(540∼541쪽의 부위별 분류번호 참조)
M05,혈청검사 양성인 류마티스 관절염(Seropositive rheumatoid arthritis)(540∼541쪽의 부위별 분류번호 참조)
M06,기타 류마티스 관절염(Other rheumatoid arthritis)(540∼541쪽의 부위별 분류번호참조)
M07*  ,건선성 및 장병증성 관절병증(Psoriatic and enteropathic arthropathies)(540∼541쪽의 부위별 분류번호 참조)
M08,청소년성 관절염(Juvenile arthritis)(540∼541쪽의 부위별 분류번호 참조)
M09*  ,달리 분류된 질환에서의 청소년성 관절염(Juvenile arthritis in diseases classified elsewhere)(540∼541쪽의 부위별 분류번호 참조)
M10,통풍(Gout)(540∼541쪽의 부위별 분류번호 참조)
M11,기타 결정성 관절병증(Other crystal arthropathies)(540∼541쪽의 부위별 분류번호 참조)
M12,기타 특정 관절병증(Other specific arthropathies)(540∼541쪽의 부위별 분류번호 참조)
M13,기타 관절염(Other arthritis)(540∼541쪽의 부위별 분류번호 참조)
M14*  ,달리 분류된 기타 질환에서의 관절병증(Arthropathies in other diseases classified elsewhere)
M15,다발성 관절증(Polyarthrosis)
M16,엉덩관절증(Coxarthrosis [arthrosis of hip])
M17,무릎관절증(Gonarthrosis[arthrosis of knee])
M18,제1손목손허리 관절의 관절증(Arthrosis of first carpometacarpal joint)
M19,기타 관절증(Other arthrosis)(540∼541쪽의 부위별 분류번호 참조)
M20,손가락 및 발가락의 후천성 변형(Acquired deformities of fingers and toes)
M21,사지의 기타 후천성 변형(Other acquired deformities of limbs)
M22,무릎뼈의 장애(Disorders of patella)
M23,무릎의 내 이상(Internal derangement of knee)
M24,기타 명시된 관절 이상(Other specific joint derangements)
M25,"달리 분류되지 않은 기타 관절 장애(Other joint disorders, NEC)"
M30,결절성 다발동맥염 및 관련 상태(Polyarteritis nodosa and related conditions)
M31,기타 괴사성 혈관병증(Other necrotizing vasculopathies)
M32,전신 홍반성 루푸스(Systemic lupus erythematosus) 
M33,피부다발근육염(Dermatopolymyositis)
M34,전신 경화증(Systemic sclerosis)
M35,결합조직의 기타 전신 침습(Other systemic involvement of connective tissue)
M36*  ,달리 분류된 질환에서의 결합조직의 전신 장애(Systemic disorders of connective tissue in diseases classified elsewhere)
M40,척주뒤굽음증 및 척주앞굽음증(Kyphosis and lordosis)(557쪽의 부위별 분류번호 참조)
M41,척주옆굽음증(Scoliosis)(557쪽의 부위별 분류번호 참조)
M42,척추성 골연골증(Spinal osteochondrosis)(557쪽의 부위별 분류번호참조)
M43,기타 변형성 배병증(Other deforming dorsopathies)(557쪽의 부위별 분류번호참조)
M45,강직성 척추염(Ankylosing spondylitis)(557쪽의 부위별 분류번호 참조)
M46,기타 염증성 척추병증(Other inflammatory spondylopathies)
M47,척추증(Spondylosis)(557쪽의 부위별 분류번호 참조)
M48,기타 척추병증(Other spondylopathies)(557쪽의 부위별 분류번호참조)
M49*  ,달리 분류된 질환에서의 척추병증(Spondylopathies in diseases classified elsewhere)
M50,목뼈원판 장애(Cervical disc disorders)
M51,기타 추간판 장애(Other intervertebral disc disorders)
M53,"달리 분류되지 않은 기타 배병증(Other dorsopathies, NEC)"
M54,배통(Dorsalgia)(557쪽의 부위별 분류번호 참조)
M60,근육염(Myositis)(540∼541쪽의 부위별 분류번호 참조)
M61,근육의 석회화 및 골화증(Calcification and ossification of muscle)
M62,기타 근육 장애(Other disorders of muscle)(540∼541쪽의 부위별 분류번호 참조)
M63*  ,달리 분류된 질환에서의 근육 장애(Disorders of muscle in diseases classified elsewhere)
M65,윤활막염 및 건초염(Synovitis and tenosynovitis)(540∼541쪽의 부위별 분류번호 참조)
M66,윤활막 및 힘줄의 자연파열(Spontaneous rupture of synovium and tendon)
M67,윤활막 및 힘줄의 기타 장애(Other disorders of synovium and tendon)
M68*  ,달리 분류된 질환에서의 윤활막 및 힘줄의 장애(Disorders of synovium and tendon in diseases classified elsewhere)
M70,"사용, 과용 및 압박과 관련된 연조직 장애(Soft tissue disorders related to use, overuse and pressure)(540∼541쪽의 부위별 분류번호 참조)"
M71,기타 윤활낭병증(Other bursopathies)(540∼541쪽의 부위별 분류번호 참조)
M72,섬유모세포 장애(Fibroblastic disorders)(540∼541쪽의 부위별 분류번호 참조)
M73*  ,달리 분류된 질환에서의 연조직 장애(Soft tissue disorders in diseases classified elsewhere)(540∼541쪽의 부위별 분류번호 참조)
M75,어깨 병터(Shoulder lesions)
M76,"발을 제외한 다리의 골부착부병증(Enthesopathies of lower limb, excluding foot)(540∼541쪽의 부위별 분류번호 참조)"
M77,기타 골부착부병증(Other enthesopathies)(540∼541쪽의 부위별 분류번호 참조)
M79,"달리 분류되지 않은 기타 연조직 장애(Other soft tissue disorders, NEC)"
M80,병적 골절을 동반한 골다공증(Osteoporosis with pathological fracture)
M81,병적골절이 없는 골다공증(Osteoporosis without pathological fracture)
M82*  ,달리 분류된 질환에서의 골다공증(Osteoporosis in diseases classified elsewhere) (540∼541쪽의 부위별 분류번호 참조)
M83,성인성 골연화증(Adult osteomalacia)(540∼541쪽의 부위별 분류번호 참조)
M84,뼈 연속성의 장애(Disorders of continuity of bone)(540∼541쪽의 부위별 분류번호 참조)
M85,뼈 밀도 및 구조의 기타 장애(Other disorders of bone density and structure)
M86,골수염(Osteomyelitis)(540∼541쪽의 부위별 분류번호 참조)
M87,골괴사증(Osteonecrosis)(540∼541쪽의 부위별 분류번호 참조)
